, Apple
INSTITUTIONS, If
INTELLECTUAL, PROPERTY
INTERFERENCE, HACKING
INTERRUPTION, OR
INTRODUCTION, TO
INTRUSION, AND
INVESTIGATION, OF
IS, NOT
ITS, DECISION
ITUNES, STORE
Iceland, the
If, any
In, particular
InApp, Purchases
Inc, located
Individual, Apple
Individuals, acting
Industrial, Estate
International, Sale
Internet, access
Ireland, for
It, is
Items, and
J, ADDITIONAL
JURISDICTIONS, APPLES
Japan, Apple
K, MISCELLANEOUS
KIND, INCURRED
KK, located
LAW, Except
LIABILITY, RELATING
LIABLE, FOR
LIBRARY, iCloud
LICENSE, AGREEMENT
LICENSED, APPLICATION
LICENSOR, HAS
LICENSORS, AS
LIMIT, OR
LIMITATION, IS
LIMITATIONS, MAY
LIMITED, TO
LOSS, CORRUPTION
LOSSES, ARISING
Learn, more
Level, 
Liability, TO
Library, If
License, Licensor
Licensed, Application
Licensor, reserves
Licensors, total
Limitation, of
Limited, located
List, By
MADE, AVAILABLE
MAINTENANCE, AND
MATERIALS, Apple
MAXIMUM, EXTENT
MAY, INCUR
MEMBERSHIP, Apple
MERCHANTABILITY, FITNESS
MISCELLANEOUS, TERMS
MJ, A
MULTIPASS, A
MUSIC, LIBRARY
Manage, Subscriptions
Management, DRMfree
Martin, Place
Match, subscription
Member, changes
Membership, ICLOUD
Messages, app
Minatoku, Tokyo
MultiPass, cycle
Music, Apple
Musicenabled, devices
NECESSARY, SERVICING
NO, CASE
NONAPPLE, DEVICES
NONINFRINGEMENT, BECAUSE
NOT, SUE
NOTICE, TO
NSW, 
Nationals, List
Nations, Convention
New, Zealand
News, subscriptions
No, Apple
North, America
Norway, or
Not, all
Notices, shall
OCCURRED, THIS
OF, THIS
OFFICERS, EMPLOYEES
OMISSIONS, IN
ON, MJ
OR, CONTEMPLATED
ORAL, OR
OTHER, PROVISIONS
OTHERWISE, MADE
OUR, SERVICES
OUT, OF
OWN, SYSTEM
One, Apple
Organizer, must
Organizers, payment
Other, Content
Our, Services
PART, OF
PARTICULAR, PURPOSE
PASS, AND
PAYMENTS, TAXES
PERFORMED, OR
PERIODS, OF
PERMITTED, BY
PERSONAL, INJURY
PERSONALIZED, RECOMMENDATION
POSSIBILITY, BECAUSE
POSTED, TRANSMITTED
PRIVACY, Your
PROCESS, ANY
PROFITS, LOSS
PROHIBITED, BY
PROPERTY, You
PROTECT, INFORMATION
PROVE, DEFECTIVE
PROVIDED, AS
PROVISION, APPLIES
PROVISIONS, This
PUBLIC, INSTITUTIONS
PUNITIVE, SPECIAL
PURCHASES, Apps
PURPOSE, TITLE
Paid, Subscription
Park, Way
Party, App
Pass, we
Pay, If
Persons, List
Place, Sydney
Please, carefully
Podcasts, httpswwwapplecomlegalinternetservicesitunesitunesstorenotices
Policy, which
Privacy, Policy
Program, If
Provider, or
Providers, are
Pty, Limited
Publisher, of
Purchase, Program
Purchases, by
QUALITY, OF
QUIET, ENJOYMENT
REASONABLE, EFFORTS
RECOMMENDATION, FEATURES
RECOVER, ANY
REDOWNLOADS, You
REFUNDS, You
REFUSE, TO
REGARDLESS, OF
RELATED, IN
RELATING, THERETO
RELEASE, APPLE
REMOVE, OR
RENTED, THROUGH
REPAIR, OR
REPRESENT, OR
REPRESENTATIVE, SHALL
RESPECT, TO
RESPONSIBLE, FOR
RESULT, OF
RIGHTS, OF
RISK, AND
RULES, Your
Redownload, if
Rentals, 
Report, a
Republic, of
Rights, Management
Risk, of
Roppongi, Minatoku
Rules, reverseengineer
SATISFACTORY, QUALITY
SEASON, PASS
SECURITY, INTRUSION
SERVICE, AVAILABILITY
SERVICES, OR
SERVICING, REPAIR
SHALL, NOT
SHARING, The
SHOULD, THE
SO, THIS
SOLE, RISK
SOME, COUNTRIES
SPECIAL, OR
STATED, BY
STATES, OR
STATUTORY, EXCEPTIONS
STORE, CONTENT
SUBMISSION, OF
SUBMISSIONS, TO
SUBMITTED, BY
SUBSCRIPTION, Apple
SUBSCRIPTIONS, The
SUCH, INFORMATION
SUE, OR
SUPPORT, Apple
SUSPECTED, VIOLATION
SUSPEND, OR
SUSPENSION, OF
SYSTEM, INCLUDING
Sale, of
Sales, and
Santa, Clara
Scope, of
Season, Pass
See, the
Service, from
Services, andor
Sharing, Subscriptions
Sharings, Purchase
Software, Documentation
Some, Apps
Songs, that
South, America
Specially, Designated
Specifically, excluded
Standard, EULA
State, of
States, territories
Store, httpswwwapplecomlegalinternetservicesitunesappstorenotices
Submissions, Guidelines
Subscription, before
Subscriptions, section
Such, modifications
Suite, 
Switzerland, Norway
Sydney, NSW
TAKE, ANY
TAKEN, BY
TAXES, AND
TERMINATE, YOUR
TERMINATION, AND
TERMS, APPLICABLE
THAT, A
THE, INVESTIGATION
THEIR, POSSIBILITY
THEORY, OF
THERETO, YOU
THIRDPARTY, MATERIALS
THIS, AGREEMENT
THROUGH, THE
TIME, OR
TITLE, AND
TO, ALL
TORT, OR
TRANSMITTED, OR
TV, episodes
Termination, This
Terms, in
The, Apple
These, terms
Third, Party
This, Agreement
To, the
Tokyo, for
Toronto, ON
Touch, ID
Transaction, between
Transactions, pass
Treasury, Departments
UNINTERRUPTED, OR
UP, YOUR
US, and
USAGE, RULES
USE, OF
USER, LICENSE
USING, THE
USembargoed, countries
Union, country
United, Nations
Unpublishedrights, reserved
Usage, Rules
Use, of
User, License
Using, our
VIA, THE
VIOLATION, OF
VIOLATIONS, DESCRIBED
VIRUSES, INTERFERENCE
Video, Content
Volume, Purchase
WAIVER, AND
WARN, YOU
WARRANT, THAT
WARRANTIES, MAY
WARRANTY, SHOULD
WAY, APPLE
WHATSOEVER, INCLUDING
WILL, BE
WITH, RESPECT
WITHOUT, WARRANTIES
WRITTEN, INFORMATION
Wallet, using
Way, Cupertino
We, reserve
When, your
Where, available
YOU, TO
YOUR, ACCESS
You, agree
Your, use
Zealand, including
a, thirdparty
ability, to
able, to
about, the
above, stated
abuse, stalk
acceptance, thereof
access, to
accessed, and
accessible, from
accessing, the
accompanied, by
accordance, with
account, settings
accuracy, of
acknowledge, and
acquire, a
acquired, content
acquirer, upon
across, Apples
acting, as
activated, Content
activities, You
activity, location
acts, as
add, new
added, it
additional, information
address, or
advertising, promotional
affected, by
affiliate, services
affiliated, jurisdictions
affiliation, with
aforesaid, trademarks
after, the
again, as
against, you
age, of
agent, has
agents, You
agree, that
agreement, between
agreements, with
agrees, 
all, electronically
allow, you
allows, you
already, purchased
also, contact
always, used
among, devices
amount, of
amounts, due
an, email
and, parent
andor, infringes
announcements, 
another, person
any, legal
anyone, on
app, drawer
appear, on
applicable, law
application, to
applies, to
apply, to
appropriate, to
approve, each
approved, educational
apps, downloaded
are, reasonably
arising, from
artwork, Your
as, Apple
ask, you
asked, us
associate, with
associated, with
assume, all
at, any
attempt, to
audio, clips
authenticate, your
authentication, to
authorities, government
authority, to
authorization, of
authorized, The
automatic, renewal
automatically, renew
availability, In
available, through
b, you
back, up
based, on
basis, and
be, subject
because, of
become, effective
becomes, available
been, disclaimed
before, doing
beginning, of
behalf, of
behavior, that
being, licensed
believe, that
believes, is
belong, to
belonging, to
below, whose
beneficiary, of
between, you
beyond, its
bill, you
billed, for
billing, disputes
biological, weapons
book, publisher
breach, of
bundle, App
burn, an
burned, to
but, not
buy, get
by, email
c, you
can, upload
cancel, in
cancelled, the
cancelling, your
cannot, be
card, gift
cardcode, or
cardscodes, are
carefully, read
carrier, account
carriers, terms
case, may
cases, involving
causes, beyond
certain, criteria
change, suspend
changes, When
channels, you
charge, to
charged, upon
charging, your
chemical, or
child, and
choose, to
circumvent, any
citizen, of
claim, that
claimed, by
claims, that
clarity, each
click, Agree
clips, editorial
code, of
codes, are
collect, and
collectively, and
collects, information
comments, pictures
commercial, enterprise
compared, to
compatible, devices
complete, the
completed, within
compliance, with
comply, with
complying, with
components, included
compromised, You
computer, must
computers, visit
conditions, that
confidential, information
confidentiality, and
confirm, your
conflict, of
conflicts, of
connection, with
consent, to
consistent, with
consisting, of
constitute, a
constitutes, the
construed, in
consumed, during
contact, you
contain, proprietary
content, thirdparty
continue, You
continued, use
contract, or
control, You
controlled, by
convenient, feature
cooperate, with
copy, except
copyright, claimed
corresponding, number
cost, of
could, contain
count, against
counterclaim, Terms
countries, identified
country, or
county, of
courts, of
create, derivative
created, by
credit, to
criteria, for
currently, available
custom, end
customer, of
cycle, in
d, you
damage, Content
damages, other
data, andor
date, of
days, after
debit, card
deceptive, or
decide, to
deemed, invalid
defame, any
defined, at
delay, delivery
delivered, Transactions
delivers, to
delivery, of
derivative, works
derive, the
design, manufacture
destroy, or
details, When
determine, the
determined, by
developer, App
development, design
device, K
devices, you
different, Apple
directed, to
disable, or
disassemble, attempt
disc, App
disclaimed, and
disclose, any
discontinue, the
displayed, by
dispute, or
disputes, related
distribute, the
do, not
documentation, are
does, not
doing, so
dollars, 
download, up
downloaded, from
downloads, purchases
drawer, INAPP
due, to
duration, of
during, the
e, NO
each, App
ecosystem, Your
edit, any
editorial, content
educational, or
effect, Apples
effective, immediately
either, this
electronic, transmission
electronically, delivered
eligible, for
email, or
employee, or
enable, access
enabled, Touch
encourage, you
end, users
ends, you
enforce, andor
enforcement, authorities
engage, in
ensure, that
entering, your
enterprise, governmental
entire, agreement
entitles, Apple
entity, and
episode, becomes
episodes, that
equivalent, age
errors, or
essential, purpose
evaluating, the
even, if
event, shall
every, purchase
evidence, of
examining, or
example, all
exceed, the
except, as
excessively, large
exchange, your
excluded, from
excluding, its
exclusive, jurisdiction
exercise, such
expiration, or
expire, after
exploit, the
export, or
exported, or
expressly, provided
extend, this
extensions, such
extent, expressly
f, Limitation
facial, recognition
facilitate, the
factors, B
fail, or
failed, to
fails, of
failure, to
failures, to
feature, that
features, F
federal, and
fees, may
fewer, TV
fifteen, minutes
fifty, dollars
files, or
final, Content
financial, medical
find, evidence
fingerprint, and
first, Family
five, of
follow, the
following, paragraph
for, all
force, and
foregoing, limitations
form, or
format, determined
former, members
forth, below
forum, shall
found, in
fraud, refund
fraudulent, or
free, trial
frequently, we
from, application
fulfill, any
full, force
functionality, of
funds, and
further, reserves
future, Transactions
g, You
game, subscription
gathered, periodically
gems, cannot
general, informational
get, license
gift, cardscodes
give, Apple
given, amount
go, to
govern, any
governed, by
governing, law
government, officials
governmental, organization
governs, your
grant, Apple
granted, no
grants, to
graphics, and
guaranteed, by
guardian, understand
h, The
harass, abuse
hardware, software
harmful, content
has, the
have, failed
held, invalid
here, httpswwwapplecomlegalinternetservicesitunesgiftcards
hereby, grant
herein, Unpublishedrights
hours, prior
how, Transactions
httpssupportapplecomenusHT, APP
httpsupportapplecomkbHT, All
httpswwwapplecomlegalinternetservicesitunesapplebooksnotices, TERMINATION
httpswwwapplecomlegalinternetservicesitunesappstorenotices, 
httpswwwapplecomlegalinternetservicesitunesgiftcards, APPLE
httpswwwapplecomlegalinternetservicesitunesitunesstorenotices, 
httpswwwapplecomlegalprivacy, SERVICES
i, terminate
iCloud, Music
iMessage, apps
iTunes, Store
identified, below
identify, you
if, the
ii, terminate
iii, preclude
illegal, fraudulent
immediately, Apple
impersonate, or
implement, the
impose, access
improve, its
in, this
inaccuracies, You
inapp, purchases
include, a
included, within
includes, apps
including, but
inconsistent, with
incorporated, into
increases, and
indemnification, section
individual, on
individually, External
individuals, on
information, to
informational, purposes
informationincluding, but
infringe, a
infringes, such
initiated, by
initiating, Family
injury, exceed
instead, construed
institution, and
instructions, httpssupportapplecomenusHT
insufficient, funds
intellectual, property
intentions, of
interface, audio
internal, purposes
into, this
invalid, or
invites, other
invoice, for
involving, personal
irrevocably, submit
is, unlawful
island, possessions
it, exercise
its, control
join, any
jurisdiction, of
jurisdictions, and
keyboards, stickers
known, as
languages, or
large, files
last, episode
later, choose
latest, Paid
law, enforcement
lawfully, acquired
laws, Risk
learn, more
least, 
leaves, or
legal, guardian
letter, via
liability, to
liable, to
license, to
licensed, by
licenses, are
licensing, terms
licensors, and
limit, Songs
limitation, the
limitations, will
limited, to
limits, on
linked, from
list, You
listening, purposes
loan, sell
local, state
located, in
location, To
locations, 
logo, iTunes
logos, used
logs, information
long, as
longer, be
lose, access
loss, for
losses, arising
made, available
mail, to
mailing, address
maintaining, its
maintenance, and
majority, should
make, the
making, InApp
manipulative, activity
manner, consistent
manufacture, or
marketing, and
marks, graphics
matched, is
material, that
materials, in
matter, between
maximum, of
may, also
means, except
medical, and
meet, certain
member, you
members, must
membership, iCloud
merchant, of
message, to
metadata, and
method, Family
minimum, charge
minor, 
minutes, without
misrepresent, your
missile, or
modifications, and
modified, versions
modify, suspend
monitor, and
more, details
most, consistent
multiple, devices
music, videos
must, be
name, the
national, laws
nearly, as
necessary, or
need, compatible
network, where
new, or
next, MultiPass
no, right
nonApplebranded, device
nonArcade, Apps
noncommercial, uses
nonexclusive, jurisdiction
nontransferable, license
not, limited
notice, to
notification, to
notify, you
nuclear, missile
number, and
objectionable, offensive
obligations, due
obtain, other
obtained, In
of, majority
off, the
offensive, unlawful
offer, content
offered, an
officials, andor
older, and
on, the
once, You
one, of
ongoing, basis
only, for
opensourced, components
operating, system
opt, out
or, legal
ordinances, and
organization, or
organizer, of
original, intentions
other, laws
others, 
otherwise, export
our, Services
out, from
outside, of
over, a
overriding, custom
own, or
owned, by
owners, 
paid, as
paragraph, this
parent, or
part, of
participate, and
particular, but
parties, and
party, as
partys, rights
pass, to
password, for
pausing, or
pay, for
payment, method
per, season
performance, may
period, We
periodically, to
peripheralsthat, is
permission, to
permitted, by
perpetual, nonexclusive
person, or
personal, and
personalized, recommendations
personally, identify
persons, under
pictures, videos
place, of
plan, or
planned, when
platform, andor
play, stop
playback, You
played, Certain
playlist, of
playlists, and
please, contact
podcasts, including
portion, shall
portions, shall
possessions, territories
possible, the
post, or
postal, mail
posting, on
preclude, your
preorder, Content
presented, when
prevent, or
previously, acquired
price, may
prices, may
prior, agreements
private, or
problems, prevent
process, relating
product, support
production, of
products, for
prohibited, by
promotional, materials
property, and
proprietary, information
protected, by
provide, services
provided, in
provider, of
provides, an
providing, Apple
province, or
provision, Apple
provisions, in
public, educational
publisher, When
purchase, an
purchased, within
purchases, and
purchasing, the
purpose, g
purposes, prohibited
pursuant, to
push, notification
qualified, public
read, the
reason, such
reasonable, number
reasonably, necessary
reauthenticating, unless
receipt, or
receive, television
receiving, such
recipient, No
recognition, Manage
recommend, Content
recommendation, features
recommendations, for
recommended, and
record, is
redemption, codes
redistribute, or
redownload, previously
redownloaded, with
reduced, to
reexport, the
reexported, a
referred, to
reflect, as
refund, abuse
refuse, a
regard, to
regarding, your
registered, trademarks
registration, process
regularly, 
regulations, that
relate, to
related, to
relating, to
relationship, between
remain, in
remaining, portions
remedy, fails
remove, disable
removed, from
renew, until
renewal, at
rent, loan
rentals, are
replace, or
replacement, of
represent, and
reproduced, in
request, personal
require, a
required, by
requires, a
reserve, the
reserved, under
reserves, the
reside, in
residence, Specifically
resolve, any
respect, to
responsibility, not
responsible, for
restarting, does
restriction, is
restrictions, or
result, in
retail, value
reverseengineer, disassemble
review, this
right, to
rights, Children
risk, Licensor
royaltyfree, perpetual
rules, set
sake, of
sales, contract
same, subject
scripts, and
season, a
section, is
security, technology
see, materials
seek, your
selected, when
sell, or
send, you
sending, an
sent, to
separate, from
serially, or
servers, in
service, marks
services, such
set, forth
settings, See
seven, times
shall, become
share, the
shared, by
sharing, access
should, review
signed, in
simultaneously, 
single, device
six, members
skip, the
so, You
software, or
sold, to
sole, risk
solely, responsible
some, Services
sometimes, required
songs, Songs
source, code
spam, including
springboard, but
stalk, threaten
start, charging
state, federal
stated, remedy
status, of
statutes, ordinances
steps, Apple
stickers, and
stop, or
stopping, pausing
store, certain
stored, on
stream, Content
subject, to
sublicense, the
submit, to
submitted, material
subscribe, to
subscription, including
subscriptions, are
subsequent, MultiPass
successfully, charge
such, third
superseding, any
supplement, the
support, and
suspect, that
suspects, that
suspend, or
sync, nonArcade
system, and
take, steps
tamper, with
taxes, If
technical, information
technologies, to
technology, included
telephone, number
television, Content
term, is
terminate, your
terminated, by
termination, andor
terms, and
territories, and
than, as
that, the
the, child
their, parent
then, that
therefore, Apple
thereof, at
these, products
they, are
third, partys
thirdparty, claim
this, Agreement
those, rights
threaten, or
three, devices
through, the
throughout, the
time, with
times, this
to, ensure
together, as
total, liability
tracks, you
trademarks, COPYRIGHT
transfer, redistribute
transferred, among
transmission, to
transmit, spam
traveling, outside
trial, ends
turn, off
turned, on
twice, per
types, are
unable, to
unauthorized, advertising
unavailable, features
uncollected, amounts
under, the
understand, it
understanding, and
unenforceable, that
unlawful, andor
unless, such
unreasonably, delay
unsolicited, or
unsubscribe, from
until, you
up, to
update, your
updated, from
updates, product
upgrade, is
upgrades, provided
upload, up
uploaded, to
upon, electronic
us, to
usage, Please
use, of
used, in
user, interface
users, CONTRACT
uses, in
using, iCloud
usual, place
valid, Apple
valuable, and
value, of
vary, this
verify, compliance
version, recommended
versions, of
via, postal
video, clips
videos, acquired
viewable, on
virtual, gems
visit, httpssupportapplecomenusHT
waiver, of
warrant, that
warranties, have
was, obtained
way, of
we, will
weapons, h
websites, collectively
well, as
were, not
whatsoever, except
when, you
where, it
which, is
whom, Ask
whose, law
will, not
wireless, carrier
with, their
within, the
without, liability
works, of
world, You
worldwide, royaltyfree
year, You
years, or
you, to
your, use
youve, asked
